861,14981,4
179,7623,2
13161,9355,2
16046,13294,5
3484,8240,5
2102,14246,4
24,4138,3
1036,7508,5
1493,6016,4
15812,15195,4
5846,4018,5
4121,12330,4
633,53,5
205,7370,2
459,6653,4
719,12033,1
2326,5118,4
200,7492,5
2341,8857,5
2691,12241,4
4089,6119,5
6784,6309,3
2582,7517,5
869,3187,5
7735,5083,5
3765,14428,4
3544,11105,4
6132,4140,4
1486,2932,1
1063,14428,4
14647,12975,5
1648,4426,5
5796,3967,5
1140,4463,4
2157,681,3
2977,1487,4
119,8919,3
1393,7844,4
462,13199,5
39,2733,5
12626,8536,2
2862,7560,5
8305,11346,5
2773,1251,4
5975,4118,4
2131,664,5
598,14432,5
412,14465,4
2748,3432,5
1195,7460,5
11358,7910,4
2823,1316,5
3802,2234,4
14482,11691,5
2079,6084,3
3633,2256,5
2034,11829,5
181,6068,4
12085,7802,1
3267,1940,5
1171,15116,2
831,6067,2
2782,12230,3
1451,13656,2
9078,6159,4
2646,7467,4
300,15036,3
12277,7913,5
629,14325,5
194,7680,2
9671,14511,4
3267,9127,5
1626,12479,5
136,6040,3
40,5831,3
6262,8637,5
1203,6613,5
1823,5622,1
2327,787,4
9555,8055,4
605,6068,3
6394,10581,5
3826,14334,5
3889,12025,3
1075,6304,4
2646,8662,5
3333,1904,5
1127,1914,4
1195,7667,5
286,6143,4
3802,7651,3
766,14432,1
7996,5510,5
2068,14816,4
1652,15228,1
4392,8846,5
960,6581,4
61,14858,2
1093,88,3
8977,6149,5
2074,11819,5
1003,83,5
561,94,4
685,101,4
2003,6479,4
13334,10166,5
10820,6885,5
374,14449,2
342,6220,5
557,12383,5
4767,8257,5
7301,4549,5
10519,14822,5
1140,13222,3
4415,12467,4
4,6068,4
1451,9255,5
8801,12005,5
7754,5095,4
6437,6293,5
4966,10164,4
1135,6282,4
11128,7332,5
1674,8891,5
4817,13382,5
356,314,1
12361,7950,1
1911,9584,5
5502,6113,4
2322,6277,5
153,7546,5
8439,6119,5
8510,6119,5
9452,6261,5
1016,10255,4
1915,479,5
8388,12105,5
1819,8233,5
2507,946,4
1772,16040,5
4580,6154,5
2777,6745,4
14666,11959,5
300,2864,5
520,202,5
876,11773,4
2227,701,5
4658,15437,5
200,15665,5
39,14571,4
3909,4167,2
975,13723,3
1353,9115,4
7935,6655,4
16110,12947,4
4806,4584,4
6,12086,5
11505,11649,3
4672,10614,5
11549,7529,4
163,12033,5
11067,14160,4
9664,13004,4
12539,8309,5
2658,6101,3
861,15947,1
331,6058,3
1781,9522,2
6060,6151,4
1249,9894,3
2073,1375,4
3048,10883,5
2545,13551,4
9188,6174,1
1075,4856,3
1143,14397,4
9030,7584,4
1575,11682,5
40,10221,2
2001,4290,5
644,53,3
15486,12304,2
7100,12383,4
716,12142,2
14806,12014,1
609,53,4
13374,10176,5
86,7378,2
1517,12340,5
3221,7404,3
62,14037,5
1075,10000,2
200,7348,4
10378,12490,5
2491,15703,5
1075,6756,1
8397,12088,5
1605,334,4
40,9272,4
3748,12078,2
13084,9260,5
1588,6888,2
1140,7506,3
562,15708,4
11037,7100,5
167,2218,5
6678,4186,5
2889,7616,4
855,13620,5
6316,4161,5
1769,3083,3
27,10746,5
1649,8591,4
1019,9285,4
200,2984,3
56,6852,5
3032,11083,5
5053,7611,5
1650,4523,5
12285,7919,5
305,13563,5
14031,11043,4
7340,4595,3
3795,11987,4
3340,15135,4
6181,4148,5
8967,6146,5
1050,85,2
1343,2560,5
16201,13027,5
1906,12093,5
13423,10209,5
27,14448,2
161,7628,3
119,15438,4
1550,6125,4
1648,7651,5
3834,14326,5
11079,14193,4
945,183,2
7020,4266,5
13411,10182,4
2073,8970,3
5046,12093,4
95,2241,4
2716,2243,4
248,7695,5
7487,4709,5
182,7509,3
855,4458,5
1447,8147,5
1607,9071,3
1863,2829,4
40,15031,3
9819,6314,4
1801,11825,3
5,6032,4
3964,6152,4
884,10133,5
1075,315,3
2341,2340,5
109,3162,5
1377,10151,5
1738,8980,3
1801,6264,4
6238,4157,5
119,13530,3
5999,4127,5
13749,10530,5
2147,10102,5
5373,10432,5
2399,908,5
300,15195,3
1750,13498,3
15618,13531,3
3709,6266,5
5263,7578,5
459,6015,3
5691,11163,4
679,53,5
17023,14400,4
40,9536,2
2124,9754,3
1705,7372,5
2896,1431,5
328,8318,2
4543,2430,5
2858,5316,5
200,9050,5
8230,6032,5
11871,7670,5
2843,6247,4
1068,1190,4
14851,12032,5
51,6057,5
777,11915,4
1163,7894,4
3793,7884,3
1911,4879,5
15035,12103,5
2461,4975,5
1075,6693,3
6997,11939,4
10605,11961,5
1068,791,5
2063,3337,4
2510,952,5
355,727,4
2503,2733,5
894,6159,4
1824,9251,4
2296,7506,5
2858,5448,5
40,9290,4
852,12139,3
1260,15605,2
11911,7680,4
1716,6459,5
4743,7433,4
7402,11625,5
10409,6674,4
627,53,4
2829,1310,5
4541,3949,5
4656,9264,5
6742,10576,2
698,15306,3
2666,8084,4
3803,2232,5
2400,4523,5
301,4399,5
7609,9076,5
14791,12001,5
2343,11602,5
330,14753,1
5229,6806,5
6298,4159,5
3106,9095,5
2246,6517,2
5386,5313,5
2341,7801,5
161,6447,2
1721,13494,4
4655,8866,4
4714,2643,4
15731,12390,5
2073,9054,4
2116,642,2
2666,11938,5
661,215,2
1911,3189,5
1125,5557,2
7099,6179,5
6852,4206,4
2381,4588,5
2201,687,4
3058,4207,5
300,15428,3
413,14364,1
1038,12297,4
2462,8936,5
8317,14541,4
14843,12470,5
4478,2357,3
1607,15422,2
2389,3637,5
447,4592,5
11888,7680,2
1423,12824,5
12960,9079,5
1127,11114,5
6800,6291,5
3848,14396,4
1761,6081,3
2102,9051,5
9607,6477,4
3458,1996,5
10745,16050,5
629,6166,5
2654,1179,5
200,13723,2
461,4102,4
61,4157,5
14918,12078,2
3762,6047,5
629,6159,5
2716,14352,4
4313,2323,5
163,11931,3
11930,14466,4
1830,13438,3
921,10099,5
741,62,5
7022,4272,5
1911,4413,5
957,676,4
2777,5784,3
7716,12363,4
6760,14475,5
1127,13018,5
1019,420,5
1915,484,3
8927,6131,4
9527,6267,2
356,9260,5
5141,11920,4
1717,13900,3
8628,6272,5
16901,14288,4
1175,12407,4
200,8380,4
1507,11254,5
1715,12331,4
6563,4175,5
40,2776,4
194,11994,5
12488,10776,5
9592,6272,4
109,10544,5
312,5650,4
1343,307,5
7225,4479,5
671,53,4
1215,8872,2
37,6700,3
1863,7127,4
17576,15699,4
13548,11351,5
1075,4817,5
62,6759,4
4264,12334,3
1065,12417,3
5263,3242,5
4613,7232,4
2734,2601,5
13515,10234,5
1439,12454,5
409,4191,4
454,6668,4
1423,11654,5
8628,6107,4
3793,7582,5
2812,7103,4
200,7645,3
6158,4143,5
20,59,5
127,12114,5
800,4166,5
3046,2607,5
16173,14025,5
1777,11678,5
225,11920,5
62,6637,4
1804,10933,5
375,10145,4
1782,1767,5
13827,10638,5
2038,7217,4
1460,9116,5
67,2227,5
1823,7718,2
1487,1305,5
3965,2487,1
5768,3849,4
826,6728,5
1648,4583,4
5186,3208,5
4682,2733,4
42,6074,4
11723,7592,5
3632,7572,5
2608,6122,3
301,15234,3
6588,6318,4
16427,13218,5
2058,15534,5
13568,12462,5
171,53,5
40,13953,4
13454,10205,4
59,2,4
2073,11840,4
1459,6851,4
6770,4189,3
308,781,1
1419,239,4
315,12088,4
11835,12383,2
9250,9270,5
163,4127,1
11556,11986,5
1824,9263,4
1145,6328,2
842,12316,5
9074,6159,5
4624,10409,4
4292,4180,5
1195,222,5
409,12134,5
356,13360,5
3786,12339,3
205,6039,5
8016,15201,5
1711,12242,5
1989,6659,4
14071,11081,5
641,14428,4
1692,14893,4
3744,11984,2
2073,11034,4
147,59,5
957,12450,3
367,12175,4
4154,13698,4
4218,8358,4
409,7207,4
1424,186,5
260,6365,5
16273,13120,4
1353,13371,5
170,6011,4
2352,2120,5
3823,4467,4
874,12132,5
648,12134,5
4989,12017,1
2555,13664,3
3500,13129,4
146,14487,4
11027,7096,5
3287,13027,4
1833,7227,4
1593,9451,4
9574,6272,3
2084,6958,5
9730,6293,5
1249,2831,3
1720,13338,5
7368,13385,5
42,3744,5
324,30,5
200,14398,5
3377,14034,5
6083,6049,5
11484,12162,5
7995,8152,3
2562,9738,5
12848,8870,1
1789,6963,4
6108,4201,5
494,14435,1
1827,13620,4
1390,12467,5
1343,114,2
513,12467,4
8694,11649,3
4019,15726,2
5538,4161,4
1343,15315,4
40,9779,2
17128,14435,3
2770,5507,5
6581,8727,4
15545,12326,1
8280,6119,4
1786,14223,4
1708,10349,5
2024,1294,2
1075,13224,1
15635,12357,4
136,11986,2
4259,7584,4
3329,13262,3
862,12706,5
8269,6043,4
7886,7769,4
6853,7332,5
10014,12405,2
1343,15819,3
3396,1962,4
1075,13694,2
1915,14264,4
16089,12852,4
2669,5674,4
4218,6617,3
6372,12975,5
160,6141,5
16443,13234,5
957,6537,5
1075,9880,1
5449,3419,4
7642,5046,5
3742,2227,5
2864,9273,5
1075,2357,2
13440,12383,3
8218,6119,4
242,11970,5
1765,11324,5
9883,6325,5
6208,4156,4
731,65,4
2400,6647,1
1607,9388,5
6173,13121,5
8935,6135,5
807,5467,4
1973,13746,3
56,14979,4
3380,1945,4
3719,12088,5
106,6832,3
40,8918,4
200,7713,4
35,12454,3
16984,14384,1
316,14384,1
8754,6159,5
11043,7112,5
121,11919,4
161,6111,3
1249,13246,4
2748,14592,1
1386,7951,5
200,4909,4
1644,13409,2
9196,7548,4
304,7701,3
106,11699,2
299,6750,5
2641,1177,4
3854,7919,5
1517,1251,4
11703,14522,5
500,6212,5
9446,6262,3
6283,13528,3
15273,12191,4
